run_id,score,rebalance_days,weight_max,turnover_cap,risk_aversion_lambda,overlay_enabled,annualized_return,sharpe_ratio,max_drawdown
215,3.680192210688487,20,0.2,0.35,15.0,False,0.4669690978562908,1.429884431342767,-0.3542650023822309
213,3.6360154566452545,20,0.2,0.35,10.0,False,0.46646639000395806,1.4113302189608325,-0.35447701348555327
209,3.599311294029074,20,0.2,0.3,15.0,False,0.4555076561124327,1.3979513394081806,-0.36062821340993023
211,3.5933692265131976,20,0.2,0.35,5.0,False,0.466175752885164,1.3934312924096381,-0.3546469689750724
216,3.5776633829589413,20,0.2,0.35,15.0,True,0.3041884808318074,1.4000504308350143,-0.27159781783357184
207,3.565108695522494,20,0.2,0.3,10.0,False,0.4561088766145118,1.3834809411116085,-0.3608883800929764
205,3.53029719700252,20,0.2,0.3,5.0,False,0.45671583517509107,1.3687120774302406,-0.361069213825988
53,3.514520787859756,10,0.2,0.2,15.0,False,0.42397167582455975,1.3506310968666948,-0.3553148554545227
59,3.512276229248149,10,0.2,0.25,15.0,False,0.42814371795010064,1.3516028593685057,-0.35713584897637574
51,3.4717965030703093,10,0.2,0.2,10.0,False,0.42411312105277554,1.3327952940221555,-0.3557916574290495
203,3.463139099770891,20,0.2,0.25,15.0,False,0.436142642389695,1.3432680664703798,-0.3646694149228472
57,3.4587187832483295,10,0.2,0.25,10.0,False,0.4277587885316869,1.3317462924985963,-0.36360106130905434
214,3.446374479069924,20,0.2,0.35,10.0,True,0.2950646857109327,1.351564601478626,-0.2854503255287397
191,3.4417515838493458,20,0.15,0.35,15.0,False,0.4246946463511716,1.336811196532036,-0.35812455662221043
65,3.4413291829140102,10,0.2,0.3,15.0,False,0.42516716063397997,1.3308555734083198,-0.37611824278569816
201,3.435267410012063,20,0.2,0.25,10.0,False,0.43742725097137347,1.331263166703738,-0.36469641730020275
49,3.4246840180990725,10,0.2,0.2,5.0,False,0.42382456135855673,1.3132328903886135,-0.35628855143219207
212,3.423647102498479,20,0.2,0.35,5.0,True,0.2940062010913096,1.341824844691362,-0.2849096856742124
210,3.4217606659078434,20,0.2,0.3,15.0,True,0.2932032921562975,1.3410679418773634,-0.2940360128368049
185,3.415905995405379,20,0.15,0.3,15.0,False,0.42031376426888034,1.325421564080592,-0.3614826343877797
189,3.4097683622703947,20,0.15,0.35,10.0,False,0.4243857565669249,1.323464055967984,-0.35805235487292475
208,3.4068186643101335,20,0.2,0.3,10.0,True,0.29308120745457655,1.3348912816902725,-0.2945977820859814
199,3.4045942614992937,20,0.2,0.25,5.0,False,0.43864424060477125,1.3189292873784393,-0.36705048096791504
55,3.397661380549782,10,0.2,0.25,5.0,False,0.4266485871720811,1.3088930961765706,-0.37014092885255445
71,3.3965469704348763,10,0.2,0.35,15.0,False,0.4249051914730886,1.3202769108793324,-0.3937257915658896
206,3.3920812001616216,20,0.2,0.3,5.0,True,0.2929021351902812,1.3287795260488262,-0.2950804868469895
183,3.38518126892506,20,0.15,0.3,10.0,False,0.4199904880755976,1.3126976437422244,-0.3617337040666696
63,3.3829772279397337,10,0.2,0.3,10.0,False,0.42451562770508633,1.3095850096244905,-0.38388743549606064
187,3.366593494259111,20,0.15,0.35,5.0,False,0.4231825905252604,1.307188451700994,-0.36227825154612314
137,3.361447538061145,15,0.2,0.3,15.0,False,0.415995283410026,1.3404779924608616,-0.36432115735177373
72,3.3564711682378032,10,0.2,0.35,15.0,True,0.2756695104481708,1.3007804070769704,-0.26164407272981527
131,3.3557765577677,15,0.2,0.25,15.0,False,0.408947593621374,1.336800972423108,-0.36169820066313974
181,3.346803098732658,20,0.15,0.3,5.0,False,0.41914597239456586,1.2974314470181614,-0.36378351545846976
204,3.332982111944238,20,0.2,0.25,15.0,True,0.285253051910501,1.3024934833782638,-0.2966724378769503
69,3.3262730062910215,10,0.2,0.35,10.0,False,0.4228975120959668,1.2948607524012397,-0.4031376972186821
202,3.3227791680978553,20,0.2,0.25,10.0,True,0.28565358602694846,1.2984178447401065,-0.2973372252475319
179,3.319913287566263,20,0.15,0.25,15.0,False,0.4070690247723079,1.285338049970326,-0.36342287496775283
61,3.316648106234473,10,0.2,0.3,5.0,False,0.4228268955301435,1.2852907028458107,-0.3919149877903443
129,3.3151162337923346,15,0.2,0.25,10.0,False,0.40968038432350995,1.3209840842064027,-0.36646536653672834
135,3.3146203844072613,15,0.2,0.3,10.0,False,0.41613343607709763,1.3224416291172996,-0.3695536422149579
143,3.3112774409287438,15,0.2,0.35,15.0,False,0.41592850906166356,1.3235649305465669,-0.3725437045343646
200,3.3080252110934554,20,0.2,0.25,5.0,True,0.2855653198627315,1.292383706357077,-0.2979551213128142
70,3.3059083692570796,10,0.2,0.35,10.0,True,0.2728610908542768,1.2819981702345409,-0.26653228073801505
177,3.2921451435979057,20,0.15,0.25,10.0,False,0.40722011086759125,1.2740384990133553,-0.364579203424898
66,3.2856971319011223,10,0.2,0.3,15.0,True,0.2679985208548219,1.2656593827900584,-0.2590151487409802
127,3.270255244997605,15,0.2,0.25,5.0,False,0.40984431004146926,1.3037066802119277,-0.371750589141135
133,3.263284176154687,15,0.2,0.3,5.0,False,0.41548665386504946,1.302584570150426,-0.3748615305691744
141,3.262411806462336,15,0.2,0.35,10.0,False,0.41577200267108205,1.3046268781251975,-0.37766207872360313
48,3.2572659551128056,10,0.15,0.35,15.0,True,0.26415928824617896,1.2589954414678968,-0.26365879585064134
175,3.2563787526284536,20,0.15,0.25,5.0,False,0.4068533518770583,1.2609887426508783,-0.36997330965746367
192,3.2498487217428,20,0.15,0.35,15.0,True,0.27179706318784635,1.2732805210213034,-0.2874955431323045
190,3.2487176872605916,20,0.15,0.35,10.0,True,0.2702027650898977,1.2725784914214142,-0.28518062327999005
67,3.2480081348006706,10,0.2,0.35,5.0,False,0.4199551406273001,1.266244338819861,-0.4125225819326144
24,3.2455007223151484,10,0.12,0.35,15.0,True,0.2572312743199039,1.2563455752135293,-0.258836581451667
68,3.2446728033495784,10,0.2,0.35,5.0,True,0.2694072020554661,1.258300433954817,-0.2726989906646724
64,3.243026782340561,10,0.2,0.3,10.0,True,0.26583272193699115,1.2485163146307718,-0.2607138731382207
29,3.242648632312849,10,0.15,0.2,15.0,False,0.38207076704503473,1.2425720613685958,-0.35523422175137
197,3.242345817781901,20,0.2,0.2,15.0,False,0.404935555308944,1.2545005890673135,-0.371177912364939
35,3.2387256458720497,10,0.15,0.25,15.0,False,0.3874249113824717,1.2484648232772255,-0.37163535812028003
60,3.237716954117599,10,0.2,0.25,15.0,True,0.2614573426462823,1.245526024026616,-0.26107539469894114
62,3.237500568142085,10,0.2,0.3,5.0,True,0.26700893061534137,1.2485241041566457,-0.26642994679023035
125,3.2360292775307355,15,0.2,0.2,15.0,False,0.3884329853443991,1.2894786099460016,-0.36585378262276824
41,3.2292400248094975,10,0.15,0.3,15.0,False,0.3914621309502362,1.2521827984166611,-0.38800281920536406
58,3.228173544660666,10,0.2,0.25,10.0,True,0.2617618615017714,1.241360699549414,-0.26018015638456204
126,3.2272034092011834,15,0.2,0.2,15.0,True,0.26268690021780094,1.2688312997063773,-0.24484817632787503
188,3.222962407499965,20,0.15,0.35,5.0,True,0.26942914279223307,1.2608382315305446,-0.2857523674422937
186,3.222202341103147,20,0.15,0.3,15.0,True,0.2690691263239715,1.2623440556814023,-0.2959208487142311
132,3.220409258540321,15,0.2,0.25,15.0,True,0.2620322735162768,1.2676494882076428,-0.24807714169421902
184,3.219742821253809,20,0.15,0.3,10.0,True,0.26959345778284427,1.2611921397955945,-0.2965616607161574
182,3.217767906302319,20,0.15,0.3,5.0,True,0.27029255585751777,1.2602477623858208,-0.297154016006007
47,3.217550874816683,10,0.15,0.35,15.0,False,0.39473933822608087,1.2537441377241494,-0.4019447893724414
195,3.215622606617554,20,0.2,0.2,10.0,False,0.40685426792711565,1.245071052760244,-0.376887849840441
46,3.215025076238735,10,0.15,0.35,10.0,True,0.26171608447238537,1.2421466468308258,-0.26606815875875434
139,3.2112134425097905,15,0.2,0.35,5.0,False,0.41514300071078303,1.2848599165841297,-0.3831529714134323
22,3.2101637102846037,10,0.12,0.35,10.0,True,0.255156125445944,1.2422857255108322,-0.26133085410255685
124,3.2097632683950676,15,0.2,0.2,10.0,True,0.26267572304869,1.2623317296349963,-0.2473311791907553
123,3.202923293669226,15,0.2,0.2,10.0,False,0.38965681592092904,1.2767452622573452,-0.370464000692986
27,3.201893535725905,10,0.15,0.2,10.0,False,0.3813631863971185,1.227645824529251,-0.3605759939104741
122,3.1969138510787714,15,0.2,0.2,5.0,True,0.26251636013300184,1.2578260226124125,-0.24974250727051617
130,3.1968232914604373,15,0.2,0.25,10.0,True,0.2616441829776617,1.2586619622927697,-0.250629743107578
56,3.1907213957647262,10,0.2,0.25,5.0,True,0.25966177506671695,1.225223866659388,-0.2592217342189932
33,3.1897550875673635,10,0.15,0.25,10.0,False,0.38590300483051854,1.230677536394262,-0.3779559146643756
193,3.1883695075142224,20,0.2,0.2,5.0,False,0.40856623649693313,1.235484533743529,-0.38275884150592976
161,3.1865781747243442,20,0.12,0.3,15.0,False,0.38362563413819784,1.2352106114439563,-0.36323546019626196
167,3.1857082108423347,20,0.12,0.35,15.0,False,0.3858414059816939,1.238072782844315,-0.36545671608103647
44,3.181899648025169,10,0.15,0.35,5.0,True,0.2600049127083275,1.229196620734209,-0.26834405568763287
128,3.18169473228099,15,0.2,0.25,5.0,True,0.26175064823653904,1.253553863853498,-0.2533893998221153
180,3.1811365525943565,20,0.15,0.25,15.0,True,0.2655013039203602,1.2415429695057456,-0.2961171842105398
178,3.173540895754548,20,0.15,0.25,10.0,True,0.26580339459972224,1.2385220101779821,-0.29701203550730926
20,3.1717290942955016,10,0.12,0.35,5.0,True,0.2528191209434558,1.2272576300053277,-0.26462948428735844
39,3.1695493173331553,10,0.15,0.3,10.0,False,0.3889720193209789,1.230411274779932,-0.3955547848764811
173,3.1690303073767954,20,0.15,0.2,15.0,False,0.387483633927421,1.22484250705845,-0.3712651774410105
121,3.1658084808526805,15,0.2,0.2,5.0,False,0.39032407951270764,1.262469501073215,-0.3753462196086086
18,3.1637626732445696,10,0.12,0.3,15.0,True,0.2498395681569352,1.2163750641322348,-0.25543507788567077
198,3.1610983347549473,20,0.2,0.2,15.0,True,0.2644785159337544,1.2318437367937793,-0.2955532971074746
196,3.159397221347258,20,0.2,0.2,10.0,True,0.26572417619186384,1.2314049560922735,-0.29631953698792435
159,3.1585987444555244,20,0.12,0.3,10.0,False,0.3832316098355639,1.225363515761362,-0.3679324864840696
165,3.155756512635395,20,0.12,0.35,10.0,False,0.38531402900496214,1.2276845548144995,-0.370774934279425
176,3.1530559375958127,20,0.15,0.25,5.0,True,0.2650277559394547,1.2300416339149736,-0.297900093142197
25,3.1525098113421244,10,0.15,0.2,5.0,False,0.3795852751722182,1.2093182277165189,-0.36603571628358655
194,3.149426833102539,20,0.2,0.2,5.0,True,0.26613767081817574,1.2274493156191058,-0.2969890080142451
54,3.1476375003022645,10,0.2,0.2,15.0,True,0.25766158249343163,1.2118616519264815,-0.28689332938393697
45,3.1470744984299164,10,0.15,0.35,10.0,False,0.3911679571938793,1.228077033715254,-0.41101860074132957
171,3.143440616252488,20,0.15,0.2,10.0,False,0.3881284257467461,1.2156670431216663,-0.37592123661750965
168,3.13962070430129,20,0.12,0.35,15.0,True,0.25603776911044096,1.2286392161601591,-0.2847164960424742
155,3.1393405800555527,20,0.12,0.25,15.0,False,0.3761796186960873,1.2145425035303783,-0.36543896577896007
52,3.135759803347184,10,0.2,0.2,10.0,True,0.25674322871341215,1.2072081165570983,-0.28696285373988695
138,3.1355828386319775,15,0.2,0.3,15.0,True,0.25600342056969594,1.2366934435950006,-0.2562804730291227
42,3.133993246776432,10,0.15,0.3,15.0,True,0.2530978854823278,1.2061776113634537,-0.2679528817328708
157,3.1322202426106296,20,0.12,0.3,5.0,False,0.3829759017000669,1.2158571892570378,-0.37198543604483625
16,3.1284596903337447,10,0.12,0.3,10.0,True,0.24768225246995157,1.2022975960159183,-0.25753051160197604
163,3.1282880698608553,20,0.12,0.35,5.0,False,0.38493029624096486,1.2178032488524038,-0.3749644169956876
40,3.1274677194206486,10,0.15,0.3,10.0,True,0.25354754236192756,1.2034698183010997,-0.26778890351076046
36,3.1271655800881617,10,0.15,0.25,15.0,True,0.24913077206747136,1.2011108014848757,-0.2620716248122942
31,3.127120361797919,10,0.15,0.25,5.0,False,0.38277888683153427,1.2074391011079222,-0.3844722471568741
156,3.1262216244719765,20,0.12,0.25,15.0,True,0.25661624562468943,1.2157667978798876,-0.2871417749553288
136,3.1194135435523975,15,0.2,0.3,10.0,True,0.2562543869033065,1.2313379616022555,-0.2592810132319927
153,3.114747821865598,20,0.12,0.25,10.0,False,0.37607933053449005,1.2057770297127706,-0.3695791305268845
169,3.1144196577101297,20,0.15,0.2,5.0,False,0.38832611085921376,1.2052047627940528,-0.3808660143633903
50,3.1078759267596063,10,0.2,0.2,5.0,True,0.2555532962541147,1.195674782786372,-0.28702620324729766
162,3.10580222723613,20,0.12,0.3,15.0,True,0.25336286076829784,1.2121466751725989,-0.2883321613729275
107,3.1054736060314987,15,0.15,0.25,15.0,False,0.3730345255928351,1.2383842985851372,-0.3707007220740407
134,3.0990309254874484,15,0.2,0.3,5.0,True,0.2561137733257388,1.2238102295207187,-0.2614372837524762
164,3.0982765889113404,20,0.12,0.35,5.0,True,0.25391238563907237,1.2109423792051912,-0.2854708271253247
166,3.0972402704473287,20,0.12,0.35,10.0,True,0.25307706543192166,1.2106109122886366,-0.2851128769187019
34,3.096489740424439,10,0.15,0.25,10.0,True,0.24737584320633554,1.1879781494225525,-0.2610689816354992
37,3.0919391083462413,10,0.15,0.3,5.0,False,0.38435939354958726,1.201557495889668,-0.4033955908974385
14,3.0910733401123,10,0.12,0.3,5.0,True,0.24528910876690202,1.187375860981718,-0.25972184882626437
151,3.089711231085767,20,0.12,0.25,5.0,False,0.3759113947998596,1.19676350768371,-0.3735608291590091
38,3.0855136598697124,10,0.15,0.3,5.0,True,0.2509426945292097,1.1857870175705907,-0.26757219035265956
32,3.0825677138141216,10,0.15,0.25,5.0,True,0.24699199016092543,1.1816839715541383,-0.26012834512184124
158,3.0814176286784702,20,0.12,0.3,5.0,True,0.25289674944452156,1.2021423312776125,-0.28944775991906524
160,3.0813281995883495,20,0.12,0.3,10.0,True,0.2520778269148074,1.202001860563019,-0.28889572955105913
101,3.080125156916017,15,0.15,0.2,15.0,False,0.36423308825681877,1.227076038717892,-0.3689599274446528
105,3.0736117569196466,15,0.15,0.25,10.0,False,0.37284569126325784,1.2260738617950089,-0.37438435762907796
113,3.066669861751774,15,0.15,0.3,15.0,False,0.37419420802631786,1.2258071939415895,-0.37874882270410437
142,3.0620816771540733,15,0.2,0.35,10.0,True,0.25321397940719725,1.2148490737978863,-0.27238023956117907
17,3.060685073077675,10,0.12,0.3,15.0,False,0.36496079125793734,1.1873540981642627,-0.3947490506960851
144,3.055938647951316,15,0.2,0.35,15.0,True,0.25117300255345243,1.2111134854379286,-0.26977665880294577
11,3.0534490661609834,10,0.12,0.25,15.0,False,0.3594374729094372,1.1778073583933928,-0.3806746125104108
99,3.0524919408361715,15,0.15,0.2,10.0,False,0.3644257733361247,1.2163627220118278,-0.372265765701288
154,3.0523320270679095,20,0.12,0.25,10.0,True,0.2496129052720779,1.1855765751305354,-0.28768957023829533
43,3.0521972040132055,10,0.15,0.35,5.0,False,0.38478605118524944,1.192701881369855,-0.4201170718126591
152,3.0417790532444213,20,0.12,0.25,5.0,True,0.24944198610043622,1.1812672101335722,-0.28824843661329536
140,3.0416468762448066,15,0.2,0.35,5.0,True,0.25314700141336677,1.207458118124665,-0.2751623799411782
5,3.0412620027113553,10,0.12,0.2,15.0,False,0.35282393136479406,1.1661038059481732,-0.36617279635121536
23,3.040634430866084,10,0.12,0.35,15.0,False,0.3669706594970106,1.1854255761289667,-0.4077961564502962
149,3.039496155483386,20,0.12,0.2,15.0,False,0.36315770241098955,1.174431836417191,-0.3732740517156409
103,3.0362704110929677,15,0.15,0.25,5.0,False,0.37207037140166754,1.211459473711648,-0.3778631212366048
111,3.030242126922305,15,0.15,0.3,10.0,False,0.37347929684572234,1.2117400676262282,-0.3825209771865823
97,3.0211802193550454,15,0.15,0.2,5.0,False,0.36414261706466244,1.2041089137365943,-0.3754778756064965
174,3.0189952298893274,20,0.15,0.2,15.0,True,0.24948482634394353,1.168762825187653,-0.290757535854262
147,3.0167952051819045,20,0.12,0.2,10.0,False,0.3631450002498555,1.1662706055594807,-0.3770305518929328
12,3.0065607549960482,10,0.12,0.25,15.0,True,0.23834452319305477,1.151470600133146,-0.2706146551559143
172,3.0064913019394552,20,0.15,0.2,10.0,True,0.24937844890551242,1.1637081154073265,-0.2913597571418993
9,3.0049380526174225,10,0.12,0.25,10.0,False,0.35701351787660407,1.160270595328813,-0.38689122161474754
3,3.001797576847899,10,0.12,0.2,10.0,False,0.3512771315632641,1.1518772165260218,-0.37147148816407016
15,3.000844824964253,10,0.12,0.3,10.0,False,0.36133820290310625,1.1652848686855433,-0.401301266157711
119,2.9994065657843416,15,0.15,0.35,15.0,False,0.371641530208179,1.2029804923137506,-0.3898796933529406
10,2.9987413397357825,10,0.12,0.25,10.0,True,0.23833906874196797,1.1482551800867684,-0.2703486611361696
30,2.9952787973622423,10,0.15,0.2,15.0,True,0.24245437642154655,1.1499830868450633,-0.28936443308013193
170,2.993148537946773,20,0.15,0.2,5.0,True,0.24915095721747993,1.1582908673951737,-0.2919606430313564
145,2.9924892619260053,20,0.12,0.2,5.0,False,0.362921127864827,1.1574415624544758,-0.3806848203666384
109,2.9913371558963266,15,0.15,0.3,5.0,False,0.37233475242405056,1.1965369699339852,-0.3858731192683834
150,2.984328685194755,20,0.12,0.2,15.0,True,0.24435268007609223,1.1512639043913642,-0.2847170656254526
21,2.976838677967949,10,0.12,0.35,10.0,False,0.3628873748856638,1.1615810973399383,-0.4141224581858125
108,2.9711165619731084,15,0.15,0.25,15.0,True,0.2383959601237966,1.1670512703915799,-0.25309712669517315
1,2.9692189661924746,10,0.12,0.2,5.0,False,0.3501270883424352,1.1401408156495465,-0.376251078632837
28,2.9664475295018042,10,0.15,0.2,10.0,True,0.23983253644907032,1.138201218184954,-0.28917836493296445
7,2.964703907075288,10,0.12,0.25,5.0,False,0.355096816500027,1.1456998732407704,-0.392292846613567
8,2.9626262139025203,10,0.12,0.25,5.0,True,0.23584145995175865,1.133096745890186,-0.27006005105401054
117,2.9611565452734503,15,0.15,0.35,10.0,False,0.37079209711076655,1.1881711434607878,-0.39393883022321896
106,2.96078107069987,15,0.15,0.25,10.0,True,0.2381563144400336,1.1631925300153705,-0.25466917493309915
102,2.9567926583230193,15,0.15,0.2,15.0,True,0.23956371475543814,1.1552839536712742,-0.24891782235001247
13,2.95362459400983,10,0.12,0.3,5.0,False,0.3586053050328044,1.1478880079921998,-0.4068373826112903
100,2.9420297375552193,15,0.15,0.2,10.0,True,0.239283236246443,1.149609676848986,-0.25046903876935467
104,2.9417241750183125,15,0.15,0.25,5.0,True,0.2375011117227701,1.1554842975688295,-0.25594049886353
26,2.9309891040829323,10,0.15,0.2,5.0,True,0.23769096251431954,1.123431220288521,-0.28897698881253076
148,2.93020077209648,20,0.12,0.2,10.0,True,0.23892907649434392,1.1293355834642287,-0.28523213863029817
6,2.930183052247584,10,0.12,0.2,15.0,True,0.23435137754849555,1.1228363137137132,-0.28869484347639573
98,2.9284770237708386,15,0.15,0.2,5.0,True,0.23903397049461184,1.1443529804204207,-0.25184122955758825
19,2.923189985023449,10,0.12,0.35,5.0,False,0.359601423216352,1.1416522771677227,-0.41985752276574795
115,2.9224722862214643,15,0.15,0.35,5.0,False,0.3696357497234788,1.172991553175582,-0.3972780412134036
146,2.920800060570726,20,0.12,0.2,5.0,True,0.23879127036559278,1.1255688179759895,-0.28572382857665457
114,2.9110374955160143,15,0.15,0.3,15.0,True,0.23437927940137016,1.146295576282114,-0.2618408504476688
112,2.910442976254231,15,0.15,0.3,10.0,True,0.23502821201859914,1.1464621317695678,-0.2632284131087018
4,2.9054708393609516,10,0.12,0.2,10.0,True,0.23292089539781768,1.1125728524183964,-0.2890349075313511
77,2.900040319463521,15,0.12,0.2,15.0,False,0.3391609969309066,1.155834815436699,-0.3764939323817861
83,2.8984302014037873,15,0.12,0.25,15.0,False,0.3443933421545322,1.157021096194622,-0.38034965398431875
2,2.8916872308884747,10,0.12,0.2,5.0,True,0.23244384873013413,1.107058326757924,-0.289358580989725
110,2.886245517196289,15,0.15,0.3,5.0,True,0.23399848025474212,1.136748880539841,-0.26471044297767643
75,2.8786135416294476,15,0.12,0.2,10.0,False,0.3390042740150343,1.147367072717605,-0.3783912770745651
81,2.8722019969147565,15,0.12,0.25,10.0,False,0.34377793516960153,1.1468217578215942,-0.38272661279819464
120,2.87031815738598,15,0.15,0.35,15.0,True,0.23181592051054167,1.1355080995247304,-0.27155499335903277
89,2.8582829285966795,15,0.12,0.3,15.0,False,0.3448660665488903,1.1439122258103205,-0.38787883616312746
73,2.8544373872550954,15,0.12,0.2,5.0,False,0.33846910699959465,1.1378130860410387,-0.3801853801180505
118,2.8522130253832465,15,0.15,0.35,10.0,True,0.23127423737907882,1.1282613032362865,-0.27297278989603724
79,2.8451808316804117,15,0.12,0.25,5.0,False,0.34280740713680746,1.1362797050264077,-0.38474721569431813
87,2.8314578458551365,15,0.12,0.3,10.0,False,0.34399406601103744,1.133557295121014,-0.3903671689230197
116,2.830016939393766,15,0.15,0.35,5.0,True,0.23036556775097994,1.1192650778338795,-0.2743560440775643
95,2.8045563063164947,15,0.12,0.35,15.0,False,0.3431501929480161,1.1259954000132766,-0.3970723367803223
85,2.803072899408062,15,0.12,0.3,5.0,False,0.3429341561564141,1.1225941394573407,-0.39271152410181887
93,2.7757632582755196,15,0.12,0.35,10.0,False,0.34186840625577997,1.1149236983075275,-0.3997056227888618
90,2.7687778320273324,15,0.12,0.3,15.0,True,0.22051474375503566,1.08860266726924,-0.26398335657230454
78,2.760722379124341,15,0.12,0.2,15.0,True,0.22221229166424683,1.0735602148346497,-0.25106852830743687
88,2.754686262784519,15,0.12,0.3,10.0,True,0.22007327772387542,1.0829338024202,-0.2651676073226904
76,2.747261261420449,15,0.12,0.2,10.0,True,0.2216813632223369,1.068199465323296,-0.25195554207840454
91,2.743545304515016,15,0.12,0.35,5.0,False,0.34034986674520784,1.102596339142414,-0.40224057207726516
86,2.7405239030383646,15,0.12,0.3,5.0,True,0.21962005649352134,1.0771903217593275,-0.26622759712087984
74,2.7357311959806383,15,0.12,0.2,5.0,True,0.22130218590262518,1.0636466950519925,-0.2528610584819495
84,2.7347436678887904,15,0.12,0.25,15.0,True,0.22060720856520377,1.0647937973011259,-0.25504358968704954
96,2.72368750421984,15,0.12,0.35,15.0,True,0.21784911013483477,1.0747152335524892,-0.27170954816093096
82,2.7190878470970308,15,0.12,0.25,10.0,True,0.2199406930553227,1.0585391509760842,-0.25613048277768025
94,2.7096475996192515,15,0.12,0.35,10.0,True,0.217397824507924,1.0689521939109845,-0.2726524942293662
80,2.7031215861281117,15,0.12,0.25,5.0,True,0.21924834944455562,1.0521778810422344,-0.2572319699269001
92,2.697931454596432,15,0.12,0.35,5.0,True,0.21711408418617006,1.0641015983998312,-0.2734733480211966
